全国房价排行榜
（住宅 2025年10月）
排名	城市	二手房(元/㎡)	同比(去年)	环比(上月)	新房(元/㎡)
232	平顶山	5172	-15.16%	+4.25%	5756
233	黄石	5143	-3.65%	-1.46%	6176
234	白银	5134	-6.74%	-2.26%	5256
235	金昌	5126	-6.05%	-1.07%	5710
236	萍乡	5116	-4.85%	-1.06%	5456
237	贵港	5114	-3.29%	-1.53%	5285
238	仙桃	5110	-4.82%	-0.55%	5582
239	巴中	5105	-2.85%	+0.55%	4449
240	文山	5104	-1.79%	+9.35%	5420
241	大庆	5104	-2.82%	-0.63%	5483
242	乐山	5102	-15.64%	-0.43%	5574
243	益阳	5078	+0.77%	-1.2%	5617
244	随州	5070	-4%	-0.18%	4729
245	中卫	5069	-6.68%	+1.93%	5315
246	嘉峪关	5049	-0.2%	-0.48%	5078
247	衡阳	5038	-3.78%	-1.61%	5180
248	毕节	5018	+1.85%	-0.84%	4574
249	葫芦岛	5015	-6.47%	+0.16%	6056
250	齐齐哈尔	5004	-0.62%	-0.98%	7688
251	朔州	4989	-1.97%	-2.45%	3941
252	清远	4958	-6.93%	-0.89%	7085
253	周口	4943	-3.53%	-0.51%	5113
254	延边	4942	-8.46%	-0.99%	6137
255	鸡西	4926	-1.93%	-2.33%	4710
256	钦州	4919	+1.88%	-0.67%	4616
257	梧州	4910	+6.93%	-1.91%	4673
258	阿克苏	4903	+0.66%	+0.22%	4526
259	克州	4896	-10.4%	--	5156
260	永州	4895	-3.45%	-0.92%	5144
261	自贡	4892	+1.43%	-2.86%	5585
262	阳泉	4887	+6.91%	+2.68%	5651
263	漯河	4876	-15.65%	-0.88%	5545
264	淮南	4866	-11.96%	-0.6%	6834
265	克拉玛依	4851	-7.02%	+1.01%	12137
266	六盘水	4838	-0.49%	-1.45%	4716
267	曲靖	4830	-11.18%	-0.27%	5675
268	孝感	4804	-2.69%	+0.02%	5800
269	塔城	4791	+25.98%	-10.44%	--
270	巴彦淖尔	4756	-14.01%	+0.32%	5744
271	白城	4752	+1.67%	-2.71%	5037
272	云浮	4747	-5.06%	+0.06%	5281
273	三门峡	4747	-8.38%	+2.25%	4760
274	朝阳	4677	+5.96%	-0.21%	5108
275	湘潭	4666	-6.44%	+0.36%	5898
276	本溪	4665	-3.93%	+2.1%	5103
277	玉林	4661	-4.07%	+0.09%	5173
278	巴州	4637	-2.36%	-0.28%	5144
279	天门	4626	-8.45%	-0.78%	4647
280	鄂州	4610	-11.64%	-2.49%	7126
281	通化	4575	-10.91%	+2.14%	5705
282	铜仁	4565	-5.33%	+0.92%	4343
283	宝鸡	4554	-4.19%	-0.04%	6457
284	广安	4554	-3.86%	-0.61%	5508
285	黑河	4533	-9.39%	+6.99%	4444
286	资阳	4532	-2.85%	+4.46%	5335
287	百色	4526	+7.86%	+1.48%	4545
288	鞍山	4494	-4.14%	+1.4%	5423
289	湘西	4463	+6.29%	+1.9%	4348
290	哈密	4453	+0.63%	+0.29%	4748
291	安顺	4442	-1.49%	-3.42%	4733
292	楚雄	4429	-6.95%	+2.01%	5723
293	防城港	4400	-1.54%	-0.73%	5732
294	邵阳	4390	-1.59%	+3.71%	4726
295	五家渠	4352	-8.26%	+0.57%	3574
296	阿拉尔	4349	+1.85%	-2.32%	4546
297	黔西南	4344	-3.14%	+0.97%	4087
298	石嘴山	4317	+2.88%	-2.83%	4622
299	白山	4296	-2.76%	-1.12%	2751
300	牡丹江	4294	-3.74%	+2.61%	5498
